Average Perplexity Score: 12.982
<SOS> resumption of the session <EOS>    PP Score = 10.287
<SOS> this needs to be looked into because it is clearly an indication that something is seriously wrong <EOS>    PP Score = 9.942
<SOS> i do not want to drag up the issue of this building endlessly but this is a serious problem <EOS>    PP Score = 7.559
<SOS> mrs ahern we have taken note of this <EOS>    PP Score = 9.860
<SOS> i would ask you to bring this specific case which has to do with the ventilators on a particular floor to the attention of the quaestors who are in fact responsible for the matter <EOS>    PP Score = 6.040
<SOS> we will also pass this on to our services however <EOS>    PP Score = 8.609
<SOS> thank you very much <EOS>    PP Score = 5.007
<SOS> reform of european competition policy <EOS>    PP Score = 19.213
<SOS> the next item is the joint debate on the following reports <EOS>    PP Score = 3.009
<SOS> a<MOB> 199 by mr von wogau on behalf of the committee on economic and monetary affairs on the commission white paper on modernisation of the rules implementing articles <NUM> and <NUM> of the ec treaty <FOOTNOTE> <EOS>    PP Score = 3.180
<SOS> a<MOB> 199 by mr rapkay on behalf of the committee on economic and monetary affairs on the european commission s xxviith report on competition policy <NUM> <FOOTNOTE> <EOS>    PP Score = 3.533
<SOS> a<MOB> 199 by mr jonckheer on behalf of the committee on economic and monetary affairs on the seventh survey on state aid in the european union in the manufacturing and certain other sectors <FOOTNOTE> report <MOB> <EOS>    PP Score = 2.977
<SOS> a<MOB> 199 by mr langen on behalf of the committee on economic and monetary affairs on the commission report on the implementation in <NUM> of commission decision no 2496 96 ecsc of <NUM> december <NUM> establishing community rules for state aid to the steel industry steel aid code <FOOTNOTE> <EOS>    PP Score = 2.720
<SOS> mr president commissioner today we are engaged in an important debate about the european union s competition policy <EOS>    PP Score = 7.706
<SOS> i want to make it quite clear that in this specific case i personally consider the commission s proposal to be wrong and feel that it remains to be seen as to whether we are truly justified in using the term modernisation to describe the content of articles <NUM> and <NUM> of the white paper or whether in this case it would be more appropriate to use the expression retrograde step <EOS>    PP Score = 6.872
<SOS> however we are also discussing the aid report today and the general competition report for 1998 and my contribution to this joint debate relates to the latter <EOS>    PP Score = 7.084
<SOS> but of course both the competition report and the aid report share common ground in this white paper <EOS>    PP Score = 6.413
<SOS> it is all about the need for modernisation and the future viability of the european competition policy <EOS>    PP Score = 7.955
<SOS> on reading both commission documents one learns that <NUM> was the year in which the modernisation proposals introduced in <NUM> were pursued and even partially completed which is something our own ongoing parliamentary work has taught us <EOS>    PP Score = 5.583
<SOS> allow me to make two fundamental comments at this juncture as the competent authority the commission with its logically consistent approach has again and again served the cause of freedom of competition not always to the delight of the member states or enterprises concerned <EOS>    PP Score = 6.175
<SOS> it should continue along this path <EOS>    PP Score = 12.375
<SOS> but commissioner none of this is to become less complicated in future one only has to think of the challenges posed by the enlargement of the union the deepening of the internal market technological progress globalisation <EOS>    PP Score = 6.546
<SOS> indeed it is not just about modernisation of community law more than anything it is about transparency of decisions taken in individual cases about the possibility of decisions actually being able to implement decisions for the european competition policy will be dependent on the population s acceptance together with that of the political bodies and enterprises concerned <EOS>    PP Score = 6.871
<SOS> only without transparency there will be no acceptance indeed there can be no modernisation without transparency <EOS>    PP Score = 8.318
<SOS> the competition report <NUM> is not a bad foundation for this but in fact there is nothing that could not be further improved upon <EOS>    PP Score = 8.474
<SOS> our motion will give you a great deal of food for thought commissioner but there is one point that i would just like to go into now transparency and accountability belong together <EOS>    PP Score = 7.735
<SOS> i do not wish to call the distribution of competences between the commission and parliament into question <EOS>    PP Score = 6.847
<SOS> here too we should continue along the path we have chosen strengthening and intensifying it <EOS>    PP Score = 8.697
<SOS> there is one thing i would like to make quite clear though parliament is a legislative body but the fact that we have no more than the right of consultation in matters of competition law of all things is truly scandalous <EOS>    PP Score = 7.055
<SOS> therefore i would urge the council and the intergovernmental conference to introduce the codecision procedure into legislation in this area <EOS>    PP Score = 8.374
<SOS> i expect the commission to exploit every available opportunity for parliamentary cooperation and to involve parliament in doubtful cases even given the treaty status quo <EOS>    PP Score = 6.103
<SOS> i also expect the commission to be pro active in supporting us in our call for codecision in legislative procedures <EOS>    PP Score = 6.914
<SOS> this will be a good test as to whether there is reasonable cooperation between the two institutions <EOS>    PP Score = 8.606
<SOS> with all due respect for the principle of competition competition is not however an end in itself <EOS>    PP Score = 7.612
<SOS> at the end of the day one of the fundamental tenets of economic theory is that the market is failing in many respects and anyone who takes issue with this is nothing more than an ideologue <EOS>    PP Score = 6.293
<SOS> competition should bring about balance in supply and demand and should provide for the optimum distribution of economic resources and facts <EOS>    PP Score = 6.324
<SOS> but optimum efficiency does not necessarily come about of its own accord <EOS>    PP Score = 9.933
<SOS> framework conditions are indispensable when it comes to preventing abuses monopolies law being one example <EOS>    PP Score = 8.678
<SOS> but on the whole this only serves to prevent abuses framework conditions alone cannot achieve socially legitimate goals in isolation <EOS>    PP Score = 6.721
<SOS> competition yes restrictions in state aid where necessary and where possible <EOS>    PP Score = 8.430
<SOS> however since state aid forms the lion s share of the competition report <NUM> i would still like regardless of mr jonckheer s report to say one more thing about it <EOS>    PP Score = 5.034
<SOS> it is certainly possible indeed it must be feasible for state aid to be given to small and medium sized enterprises involved in research and development for the purpose of educating them in regional and environmental policy <EOS>    PP Score = 7.206
<SOS> this is precisely the area where it is even more important than it is in monopolies and mergers law for decisions to be comprehensible <EOS>    PP Score = 8.021
<SOS> it is not just that we should pillory state aid rather our approach must be one of drawing distinctions and we must assess the different types of state aid in accordance with the extent to which they help to achieve the above mentioned objectives <EOS>    PP Score = 6.736
<SOS> my last comment was intended not so much for the commission as for the members of the group of the european people s party <EOS>    PP Score = 7.228
<SOS> mr president commissioner ladies and gentlemen the report which i have the opportunity to propose to you today is an opinion on the commission s annual report on the state aid in force within the european union and for which the community is authorised under articles 87 <NUM> and <NUM> of the treaties <EOS>    PP Score = 6.923
<SOS> the commission report is essentially a descriptive report detailing the development of state aid in the manufacturing sector and certain other sectors according to various typologies such as the method of financing and the objectives pursued <EOS>    PP Score = 6.659
<SOS> let me refer you to the explanatory statement for the quantitative aspects of the report and simply mention at this point that the annual level of state aid on average for the period under review is in the order of eur <NUM> billion corresponding to a reduction in the order of <NUM> in relation to the period <MOB> a reduction which is essentially due to a reduction in aid in the federal republic of germany <EOS>    PP Score = 6.175
<SOS> to put it plainly the level of state aid declared roughly speaking is generally stable during the period under discussion and comes to approximately 1 2 of community gdp or more or less the equivalent coincidentally of the community budget for one year <EOS>    PP Score = 6.606
<SOS> i think it is also interesting to add state aid and community aid which may be assimilated in some way into state aid <EOS>    PP Score = 7.183
<SOS> this clearly shows that it is the four countries which benefit from the cohesion fund among other things which come at the top of the list <EOS>    PP Score = 8.925
<SOS> this being the case let me now come to the proposals made in the report <EOS>    PP Score = 9.709
<SOS> we note first of all that the committee considers the data as presented in the commission s annual report to be in too aggregated a form to enable an in depth evaluation of state aid policy which is simultaneously legitimate sensitive to national interests and extensive in terms of compliance with the rules of competition pursuant to the actual terms of the treaty <EOS>    PP Score = 7.489
<SOS> the commission can only collate and analyse the data provided by the member states <EOS>    PP Score = 5.221
<SOS> it is in this spirit that our parliamentary committee for example has championed the longstanding idea of a public register of state aid accessible via the internet <EOS>    PP Score = 5.456
<SOS> having better more detailed information available particularly with regard to the objectives pursued and the results recorded must make it possible for the european commission to itself proceed or to commission in a regular manner studies of the social and economic evaluation of national and regional state aid policies <EOS>    PP Score = 6.857
<SOS> and insofar as such studies already exist to publish more openly its own comments with regard to the objectives of the treaties which are not only to ensure the competitivity of the european economy but also sustainable development and economic and social cohesion <EOS>    PP Score = 6.959
<SOS> by stressing primarily the quality of the information provided our debate in committee and hence the report which it is my honour to present to you avoided a simplistic response in the form of an a priori statement that the level of state aid was in absolute terms either too high or not high enough <EOS>    PP Score = 6.332
<SOS> most committee members have sought rather to find a balance between on the one hand the need to see that both states and businesses comply with the competition rules and on the other hand acknowledgement of the value of such aid with a view to contributing to the objectives of the treaty particularly as i have said already as regards sustainable development research and development and economic and social cohesion <EOS>    PP Score = 6.853
<SOS> this being the case various amendments to the rapporteur s initial draft report were adopted in committee particularly highlighting the need for effective reimbursement of aid found to be illegal as well as the establishment of a league table of results <EOS>    PP Score = 6.995
<SOS> seven amendments have been retabled for this plenary sitting <EOS>    PP Score = 13.670
<SOS> most of them are an expression of the political differences among ourselves regarding the appropriateness and effectiveness of state aid in view of the inadequacies acknowledged or not of private investment alone the market failures or inadequacies of the market <EOS>    PP Score = 6.560
<SOS> there is in particular one amendment let me point out concerning the energy sector which in my capacity as rapporteur i see as particularly important <EOS>    PP Score = 6.403
<SOS> i should like to conclude this presentation commissioner by stressing two things firstly a concern of the members of the committee and secondly a demand of our committee <EOS>    PP Score = 5.261
<SOS> the concern involves the pre accession process for the countries of central and eastern europe in terms of competition policy and state aid <EOS>    PP Score = 6.552
<SOS> this is undoubtedly a complex issue and one where we should like to see the commission informing us of the latest development in the matter particularly in terms of the capacity of the economies involved in the accession process to comply with competition rules and as far as state aid is concerned the need in all probability to have specific rules on state aid used to assist restructuring of their sectors <EOS>    PP Score = 6.629
<SOS> and finally in conclusion our demand regarding the future responsibilities of the european parliament in the matters we are discussing competition policy and state aid in the context of the intergovernmental conference <EOS>    PP Score = 6.519
<SOS> as you know commissioner our report argues that the codecision procedure should apply in the case of basic legislation on state aid <EOS>    PP Score = 6.526
<SOS> mr president commissioner my contribution to today s debate concerns the steel aid code that is the state aid in europe granted in accordance with this code and which was assessed by the commission <EOS>    PP Score = 6.828
<SOS> there were a total of <NUM> cases in <NUM> and the commission submitted its own report on these <EOS>    PP Score = 9.883
<SOS> the ecsc treaty is due to expire shortly <EOS>    PP Score = 16.237
<SOS> hence what we must focus on today is the question as to how state aid is to be managed in future <EOS>    PP Score = 11.944
<SOS> the european commission s decisions which feature in the report are welcomed by the european parliament as is the decision to ask for the money back in specific cases thus applying article <NUM> of the ecsc treaty <EOS>    PP Score = 7.039
<SOS> the competitiveness of the european steel industry also forms the subject of the commission s most recent communication which we have not yet debated in parliament <EOS>    PP Score = 10.272
<SOS> as in other sectors the general ban on state aid according to article <NUM> 1 of the ec treaty also applies to the iron and steel industry <EOS>    PP Score = 6.816
<SOS> according to this article state aid is irreconcilable with the common market in principle exemptions are only permitted in precisely defined cases <EOS>    PP Score = 6.388
<SOS> in 1998 the largest case concerned the supply of company capital totalling eur <NUM> million to the preussag in germany <EOS>    PP Score = 6.680
<SOS> furthermore the member states must give the commission advance warning with regard to their intentions concerning state aid <EOS>    PP Score = 9.853
<SOS> the rules pertaining to the steel industry were drawn up on <NUM> december <NUM> <EOS>    PP Score = 8.568
<SOS> these stipulate that state aid can only be awarded to the steel industry in particular precisely defined cases i e those involving aid for research and development aid for environmental protection social security to ease the closure of steelworks and aid to help non competitive enterprises cease trading altogether <EOS>    PP Score = 5.622
<SOS> in addition there is a special provision of up to eur <NUM> million for greece <EOS>    PP Score = 7.402
<SOS> however there were obviously problems with the practical administration of the steel aid code over the past few years that were not brought fully to bear in the report <EOS>    PP Score = 6.502
<SOS> as far as parliament is concerned it is important for us to waste no time in getting down to a debate on the regulations that are to succeed this state aid code once it has expired <EOS>    PP Score = 7.496
<SOS> there must be no watering down of the existing principles underlying the steel aid code <EOS>    PP Score = 5.918
<SOS> no one wants an unimpeded subsidy competition in europe <EOS>    PP Score = 9.359
<SOS> consequently parliament believes it is necessary for the steel aid code to be amended in the light of the industry s claims about unequal treatment and for the commission to provide the council with follow up regulations <EOS>    PP Score = 7.973
<SOS> we all know that so far the council has dragged its feet with regard to follow up regulations of this kind <EOS>    PP Score = 9.171
<SOS> the reason for this is that people are under the impression that once the steel aid code expires they will be able to do their own thing again without the inconvenience of the european commission s supervision <EOS>    PP Score = 8.135
<SOS> we therefore demand that once the treaty expires steel aid must be regulated by a council regulation according to article 94 for that is the only way to create the necessary legal validity and clarity <EOS>    PP Score = 6.715
<SOS> this is the only way to enforce the strict ban on all aid not covered by the code <EOS>    PP Score = 4.863
<SOS> a council regulation that is directly applicable law must also be observed by the regional governments <EOS>    PP Score = 10.095
<SOS> what we need to avoid doing in the future is compromising competition conditions and disturbing the balance in the markets <EOS>    PP Score = 7.259
<SOS> we also need to criticise the commission s practice of approving multiple aid packages for steel enterprises which in their view do not fall within the categories of the code even given the fact that the european court of justice approved this unequal treatment where certain individual decisions were concerned <EOS>    PP Score = 5.913
<SOS> the commission will be called upon in a report that has yet to be compiled for the year 199 to give a detailed explanation of its active role in the elaboration of restructuring plans and approved exemptions thus enabling a proper assessment of the overall situation to be made <EOS>    PP Score = 5.455
<SOS> once the committee on economic and monetary affairs has adopted the draft report unanimously with two abstentions i would ask that we make full use of this opportunity which we have ourselves created in plenary sitting <EOS>    PP Score = 6.199
<SOS> mr president ladies and gentlemen the internal market is not complete <EOS>    PP Score = 7.609
<SOS> subsidies monopolies and barriers to competition are still impeding markets and development alike <EOS>    PP Score = 7.454
<SOS> national governments provide subsidies and promise that this is the last time but then it happens again <EOS>    PP Score = 9.349
<SOS> subsidies distort allocations both within and between countries <EOS>    PP Score = 12.761
<SOS> a successive phasing out of state aid is required and more and more markets must be opened up to competition <EOS>    PP Score = 9.401
<SOS> this applies to those which have been turned into monopolies both private and public <EOS>    PP Score = 8.031
<SOS> public monopolies are more often than not phased out reluctantly <EOS>    PP Score = 8.842
<SOS> increased competition and newly established organisations should be able to provide significant benefits in terms of welfare including within the spheres of education health care and social services <EOS>    PP Score = 8.179
<SOS> public monopolies must be replaced by competitive structures <EOS>    PP Score = 12.124
<SOS> europe must be modernised made more entrepreneurial in spirit and adapted in such a way that it becomes a more competitive environment for consumers and companies <EOS>    PP Score = 5.778
<SOS> effective competition pushes prices down and raises standards of living <EOS>    PP Score = 9.316
<SOS> it is precisely upon price levels that consumer policy has failed to focus sufficiently <EOS>    PP Score = 7.787
<SOS> in fact competition policy and consumer policy belong together <EOS>    PP Score = 13.205
<SOS> the internal market is the basis for our work <EOS>    PP Score = 16.222
<SOS> its legislation is to apply equally to all to large and small countries alike <EOS>    PP Score = 7.075
<SOS> a systematic survey of the various national regulations is needed if barriers to competition are to be dismantled <EOS>    PP Score = 8.988
<SOS> the new model now being tested by the commission ought not to lead to a process of nationalisation pure and simple which would undermine the established competition policy <EOS>    PP Score = 7.954
<SOS> in order to be effective it must be well anchored in the member states national authorities <EOS>    PP Score = 8.658
<SOS> in six months time it may be appropriate to carry out an analysis of the outcome and also to look more closely at the new situation s effects upon the commission s role <EOS>    PP Score = 8.549
<SOS> the question of how best to make further progress has so far been solved through the idea of holding an inter institutional congress which will open up an unbiased debate adopting a broad perspective and involving representatives of different interests <EOS>    PP Score = 5.504
<SOS> this will provide the opportunity to establish new principles or to return to the more radical changes which have been discussed <EOS>    PP Score = 9.981
<SOS> the law must be correctly applied in matters of competition <EOS>    PP Score = 8.910
<SOS> wrongly applied competition policy may cause losses in the legal sphere and interfere with the right of ownership which is an important and basic principle we should stand up for <EOS>    PP Score = 6.872
<SOS> we have a quite exciting debate in front of us <EOS>    PP Score = 7.556
<SOS> a conference where the issues are properly debated will make it possible to straighten out misunderstandings at the same time as perhaps improving upon certain points <EOS>    PP Score = 6.215
<SOS> parliament and the commission can together increase their efforts to achieve an effective competition policy and so create new opportunities and new resources for our citizens <EOS>    PP Score = 8.088
<SOS> in fact in my own constituency of stockholm we have many good local examples of increased supply and improved quality which have arisen precisely because of exposure to competition in areas which were previously total monopolies <EOS>    PP Score = 5.582
<SOS> we would encourage a continuation of the open debate which has been strengthened in the course of consideration of the reports by mr von wogau and mr rapkay <EOS>    PP Score = 6.971
<SOS> we hope that the legal points of view will also be accorded the importance which is only reasonable in a state based on the rule of law <EOS>    PP Score = 7.156
<SOS> mr president as a new member i am pleased to be able to make my maiden speech here today even though there has been a delay <EOS>    PP Score = 6.635
<SOS> i would like to begin by thanking the rapporteurs mr von wogau mr langen mr rapkay and mr jonckheer as well as the commission for their excellent cooperation <EOS>    PP Score = 6.221
<SOS> competition is certainly fundamental to the social market economy and european competition policy is a success story take the energy and telecommunications sectors where there has been a demonstrable lowering of prices and improvement in quality of service <EOS>    PP Score = 5.921
<SOS> all this is to the good of the consumer <EOS>    PP Score = 10.718
<SOS> but we have now arrived at a point where we need to develop competition policy further <EOS>    PP Score = 9.580
<SOS> the commission has put forward a new white paper on this containing two key points dropping the obligation to notify and retrodisplacement of law enforcement <EOS>    PP Score = 5.010
<SOS> dropping the obligation to notify will mean less red tape and administration costs at any rate <EOS>    PP Score = 7.753
<SOS> at the same time this change of system will also lead to more onus being placed on the individual in the business world of course <EOS>    PP Score = 5.877
<SOS> it will no longer simply be a case of submitting papers and having them approved for one thing each person will have to take responsibility themselves and that is probably why there is unease about this in other quarters <EOS>    PP Score = 6.271
<SOS> however i believe that we should use this opportunity for europe to set down a marker for less red tape <EOS>    PP Score = 5.581
<SOS> the second point relates to the retrodisplacement of law enforcement <EOS>    PP Score = 5.907
<SOS> if we are to create a culture of law in europe then there is no doubt that the law must be applied not only by the commission by central bodies but also by national authorities by national courts <EOS>    PP Score = 7.184
<SOS> we are not discussing the fact that although every eu law is only ever decided on centrally it is precisely the adaptation phase where we will experience a lack of legal certainty <EOS>    PP Score = 7.167
<SOS> it will certainly be necessary to develop an instrument for this in the anticipated legislative procedure that will enable enterprises to enjoy legal certainty and to have recourse to the commission in this matter <EOS>    PP Score = 7.020
<SOS> the way to a european monopolies commission must be kept clear something that will certainly form a subject for future discussion <EOS>    PP Score = 7.295
<SOS> but we need there to be more transparency in the competition policy <EOS>    PP Score = 13.538
<SOS> parliament must have more involvement and i also believe that if we were to introduce a register in which we could ascertain what state aid is being granted then this would encourage the member states to be more disciplined <EOS>    PP Score = 8.684
<SOS> however when it comes to what the future holds for competition there are two issues dear to my heart <EOS>    PP Score = 7.079
<SOS> one is subsidiarity <EOS>    PP Score = 43.100
<SOS> we all hold the view that competition is vital to the economy and requires there to be efficiency and i believe we should also permit competition in the regions <EOS>    PP Score = 8.441
<SOS> competition between the regions will certainly strengthen rather than weaken the european union <EOS>    PP Score = 9.090
<SOS> i would cite by way of example the issue of job creation schemes savings banks and regional banks and gütesiegel <EOS>    PP Score = 8.211
<SOS> here a region has by its own efforts created a means of marketing its own products <EOS>    PP Score = 8.298
<SOS> this own initiative must not be destroyed by european intervention <EOS>    PP Score = 12.295
<SOS> i believe there is also a need to raise the de minimis regulation <EOS>    PP Score = 8.609
<SOS> we should do everything within our power to force the regions into a situation where they have to compete with each other <EOS>    PP Score = 7.190
<SOS> my second point relates to discussion about competition and the social market economy although i am not going to talk about market failure just now <EOS>    PP Score = 6.959
<SOS> these days someone who lives in an old people s home is accommodated within the social field <EOS>    PP Score = 5.830
<SOS> however i could also regard them as a customer and i believe we should enter into rather clear and timely discussion on the ways in which the social field that is evolved structures stifle competition <EOS>    PP Score = 6.161
<SOS> apart from that i could refer to any customers any sector as customers and thereby have a highly destructive effect on social fields <EOS>    PP Score = 5.400
<SOS> to conclude i would just like to say something on the principle of subsidiarity i believe it to be of vital importance that where member states allow regions and local authorities to raise taxes they should continue to be able to do so and not be subject to across the board regulation by europe <EOS>    PP Score = 6.171
<SOS> thank you very much mr radwan <EOS>    PP Score = 6.762
<SOS> i would like to congratulate you on what is referred to in german parliamentary speak inappropriately in your case as a maiden speech <EOS>    PP Score = 5.233
<SOS> mr president commissioner i am speaking on behalf of my fellow member robert goebbels who is unable to attend due to a political commitment <EOS>    PP Score = 6.697
<SOS> within the committee on economic and monetary affairs the jonckheer report has given rise to bitter controversy on the subject of the operation of the market <EOS>    PP Score = 5.802
<SOS> a slim right wing majority succeeded in removing any reference to market failures <EOS>    PP Score = 8.166
<SOS> even if the majority in this house were to adhere to this ultraliberal idea of a supposedly perfect market it would not make any difference to the real world <EOS>    PP Score = 7.599
<SOS> economic relationships in the real world adequately demonstrate that eliminating all public intervention in the market does not in any way bring about perfect competition and the optimum distribution of resources <EOS>    PP Score = 5.963
<SOS> while since the dawn of time the market has been the key forum for human interchange it has never been perfect <EOS>    PP Score = 8.016
<SOS> the market favours the short term and immediate profits <EOS>    PP Score = 11.160
<SOS> on the market the balance of power between supply and demand are generally to the detriment of the weakest parties consumers and workers <EOS>    PP Score = 6.010
<SOS> in order to function the market needs rules <EOS>    PP Score = 10.260
<SOS> the necessary and valuable spirit of initiative must be offset by a sense of responsibility towards society <EOS>    PP Score = 6.387
<SOS> we european socialists are in favour of a market economy with a social purpose <EOS>    PP Score = 9.231
<SOS> the market is not an end in itself it must help to improve the human condition <EOS>    PP Score = 7.365
<SOS> the european union or individual states must not take over from economic operators but public authorities must define the rules and objectives which enable the economy to develop in a sustainable fashion <EOS>    PP Score = 5.738
<SOS> finally aid can enable restructuring offer training save jobs and thus know how <EOS>    PP Score = 7.519
<SOS> the main objective of the union s competition policy cannot be to reduce the overall level of aid <EOS>    PP Score = 8.633
<SOS> this aid must be aligned with the objectives of the union particularly economic and social cohesion sustainable development and research <EOS>    PP Score = 9.572
<SOS> the commission must track down the illegal aid and the aid which actually hinders the internal market <EOS>    PP Score = 6.769
<SOS> it would be a serious mistake to eliminate all public aid <EOS>    PP Score = 6.146
<SOS> the internet is not a product of the market but the result of research financed by the american army <EOS>    PP Score = 11.341
<SOS> the world wide web which has enabled the meteoric development of the information society was developed by cern in geneva once again with public aid <EOS>    PP Score = 6.611
<SOS> the german government s intervention to save the holzmann group was criticised as an unjustifiable constraint upon the market economy <EOS>    PP Score = 6.105
<SOS> i did not hear mr duisenberg criticising the intervention of the american monetary authorities to save the hedge fund ltcm <EOS>    PP Score = 5.858
<SOS> wishing to save <NUM> <NUM> jobs is apparently a sin against the market but saving capital does not seem to present any problem for the advocates of the free market <EOS>    PP Score = 6.572
<SOS> public monies are used in order to repair the damage caused by international speculation as was the case in mexico asia and brazil <EOS>    PP Score = 8.280
<SOS> human labour on the other hand is considered to be a simple factor in the equation <EOS>    PP Score = 10.359
<SOS> we socialists reject the liberals naïve optimism on this point <EOS>    PP Score = 8.059
<SOS> we want a true culture of competition in europe <EOS>    PP Score = 9.091
<SOS> the state hand must still be clearly seen to regulate the market and the commission must act as judge <EOS>    PP Score = 9.214
<SOS> mr president commissioner i want to begin by thanking mr rapkay for a good report and constructive cooperation <EOS>    PP Score = 7.338
<SOS> i want to thank you commissioner monti for your outstanding cooperation and i want to tell you that as we enter the new millennium you have an especially important role <EOS>    PP Score = 6.824
<SOS> it is your job to tidy up the mess left by national governments these may well have grand visions when it comes to competition policy but their capacity to wreak havoc seems boundless <EOS>    PP Score = 5.519
<SOS> let me mention the latest examples we have seen holzmann a company which receives considerable aid from the german government sawmills in former east germany and especially aid to shipyards <EOS>    PP Score = 6.226
<SOS> these are three areas in which many danish companies are experiencing major problems and are being squeezed out of their markets <EOS>    PP Score = 6.303
<SOS> i want to say to mr poos that i very much agree with mr duisenberg that these examples show that some eu member states are not in a position to restructure their economies and to that extent are helping to undermine the value of the euro <EOS>    PP Score = 5.707
<SOS> the group of the european liberal democrat and reform party has tabled <NUM> amendments in the committee all concerning state aid <EOS>    PP Score = 4.863
<SOS> these are amendments which we believe will lead to transparency and openness which is very important with a view to making the internal market work <EOS>    PP Score = 9.352
<SOS> i should like to take this opportunity to thank my colleagues on the committee for supporting the amendments tabled by the group of the european liberal democrat and reform party <EOS>    PP Score = 3.096
<SOS> as i say our amendments concern transparency and i should like to emphasise the amendment which urges the commission to propose uniform criteria and conditions for the type of state aids we consider to be lawful specifically in order to ensure that companies can predict what their situation will be <EOS>    PP Score = 6.251
<SOS> another issue is that of what we are to do when state aid is declared unlawful <EOS>    PP Score = 13.060
<SOS> how do we ensure that unlawful state aid is paid back <EOS>    PP Score = 9.609
<SOS> at present there are no common rules in this area and we vigorously urge the commission to make a point of harmonising the rules on repayment <EOS>    PP Score = 7.685
<SOS> this is the way forward if we are to ensure uniform conditions of competition <EOS>    PP Score = 7.462
<SOS> finally we propose keeping both a register as mentioned by a number of my fellow meps and also a scoreboard showing where the member states at present stand with regard to state aid <EOS>    PP Score = 7.585
<SOS> you have shown us the way mr monti with the single market scoreboard <EOS>    PP Score = 9.816
<SOS> it was this which inspired us to propose the same thing with regard to state aid <EOS>    PP Score = 8.248
<SOS> i very much hope that you commissioner monti will support these amendments and i look forward to your comments and to finding out where you stand on this matter <EOS>    PP Score = 5.493
<SOS> to conclude i want to welcome the commission s xviith report on competition policy on which once again a good deal of work has been done <EOS>    PP Score = 7.421
<SOS> but as i have already mentioned our overriding objectives ought still to be those of transparency and openness <EOS>    PP Score = 7.345
<SOS> there is still a need to tighten up in the areas mentioned and there is therefore good reason for continuing to work resolutely towards solving the problems concerning the lack of transparency and openness in the area of state aid <EOS>    PP Score = 7.438
<SOS> this is especially necessary in relation to the forthcoming enlargement of the union and i should like to thank mr jonckheer who in his report has considered very thoroughly the problems associated with enlargement and with ensuring that the applicant countries are able to meet our criteria as well as with ensuring common conditions of competition <EOS>    PP Score = 6.479
<SOS> as liberals and greens we clearly have different opinions on how the world should look but we are well on the way to agreement as to our objectives and we shall try to find reasonable solutions to our problems <EOS>    PP Score = 6.598
<SOS> mr president commissioner there are just two questions which must be answered <EOS>    PP Score = 9.409
<SOS> are state aid to business or inter company agreements legitimate in a market economy and who must supervise these exceptions to the absolute rules of the market economy <EOS>    PP Score = 6.803
<SOS> regarding the first point we say quite clearly that in order to take into consideration the requirements of sustainable development which the european union has endorsed it is essential that in some instances there is state aid to businesses be it in the form of tax exemptions special taxation or even direct aid <EOS>    PP Score = 6.904
<SOS> it is also legitimate for there to be inter company agreements and voluntary restraint agreements since all these agreements make it possible to reduce the detrimental effects of competition on social or ecological requirements <EOS>    PP Score = 5.496
<SOS> so our clear response is that yes such aid and such agreements are legitimate but we say that every single one of these agreements must be expressly justified <EOS>    PP Score = 5.825
<SOS> the von wogau report proposes referring supervision of the legitimacy of individual cases to national level <EOS>    PP Score = 8.128
<SOS> we feel this is relatively dangerous but all the same we shall vote in favour of it because we recognise that the commission cannot do everything <EOS>    PP Score = 7.761
<SOS> we demand that the greatest possible transparency should be in place and that greater powers of investigation be granted to the commission in order to check the legitimacy of such exceptions after the fact <EOS>    PP Score = 7.109
<SOS> mr president once again we are debating the european union s competition policy <EOS>    PP Score = 7.252
<SOS> but let us stop to consider the circumstances in which this debate is taking place and the conclusions to which it should bring us <EOS>    PP Score = 7.263
<SOS> the overriding features of today s economy are massive mergers and acquisitions involving huge companies with a market monopoly and the emergence of frighteningly powerful multinational groups <EOS>    PP Score = 6.547
<SOS> should we not be discussing this issue <EOS>    PP Score = 10.816
<SOS> certain sectors of european industry such as the shipbuilding industry air transport and the steel industry which have been hard hit by existing competition policy have suffered tremendously <EOS>    PP Score = 8.180
<SOS> they have lost their status and a significant slice of the world market and hundreds of thousands of workers have been made redundant <EOS>    PP Score = 8.291
<SOS> when will we debate that <EOS>    PP Score = 13.743
<SOS> the scandalous concentration of power in sectors of strategic importance is giving speculative multinational groups economies the size of entire states and member states of the union at that <EOS>    PP Score = 6.365
<SOS> and yet we keep on weakening the public sector and we are ready and willing to tighten competition policy yet further by qualifying public procurement contracts placed with public sector corporations as state aid <EOS>    PP Score = 5.415
<SOS> at the same time unemployment is spiralling as a result of the loss of hundreds of thousands of jobs <EOS>    PP Score = 5.821
<SOS> workers are facing a massive attack on their employment and social rights <EOS>    PP Score = 10.928
<SOS> consumers see their standard of living being eroded poverty spreading and the public sector and production base in most countries in the union being dismantled and dissolved in the name of unadulterated and catastrophic competition in the name of the absolute market economy and the promotion of the monopolistic interests of big business <EOS>    PP Score = 5.843
<SOS> we consider the competition policy to be responsible for all this and are totally opposed to it <EOS>    PP Score = 8.085
<SOS> mr president commissioner in the course of this pivotal year prior to the changeover to the single currency the commission has deployed every effort to ensure the birth of the euro in a favourable environment <EOS>    PP Score = 6.880
